,reference,translation
8718,"The way we see it, you're in on the kill of Ricky Simmons, but that's not enough for you or for Guerrero.","we see it so that you're going to kill Ricky Simmons, but that's not enough for you...... or Guerrero."
8719,I'm counting on Thandi—Lieutenant Palane—to drive in the sword.,I'm counting on Thandi - Lieutenant Palane - to stab the animal with the sword.
8720,"I basically just got onto this bus and it took me here, to goddamn Winterfest.",I got on the bus and he threw me out here in the dusty Winterfestival.
8721,"She'il grow up, she'il have kids of her own and be your adult daughter, not this evil, fucking Bratz doll.","she'll grow up, she'll have her kids, and she's gonna be your grown-up daughter, not the bad-ass Bratz doll."
8722,I'm gonna teach you how to be a house nigger.,I'll teach you how to be a non-grel.
8723,"Otherwise you will become a corpse yourself, abandoned",otherwise you will become a corpse in someone else's dream.
8724,What are you doing in my graveyard?,what the hell are you doing in my cemetery?
8725,What'd they upload? The goddamn Library ot Congress?,"what have they recorded to me, the entire Congress library?"
8726,This creature's named Maverick and I'm Annabelle Bransford.,"this ridiculous creature is called Mavrick and myself, Annabel Bransford."
8727,"Honestly, like having a small child around doesn't already make it difficult enough to, like, ever have sex.","to be honest, having a little kid around like that wouldn't have made it any more difficult, let alone having sex."
8728,Logic was logic and robots had nothing else.,"logic is logic, and robots are useless."
8729,What elsehaven't you believed?,what the hell didn't you do?
8730,"I should have opened fire but I din't and, and they got him.","what happened, I should have shot, but I didn't, and they shot him."
8731,"And it's fried rice, ""you plick.""","and fried rice, """" you bitch. """
8732,You blew it. I'm winning.,"you screwed up, I won."
8733,My God!,"oh, shit!"
8734,"What the hell are you doing here, Carnby?","what are you doing here, Carnby?"
8735,Feeling someone's gonna murder some tater tots tonight.,I feel like someone's gonna kill a couple of fried potatoes.
8736,"Sir, it's your choice not to accept the tetanus toxoid, but you should know that full-blown tetanus can kill you.","Sir, if you refuse a tetanus shot, you should know that an advanced tetanus can kill you."
8737,The ugliness around us!,shit around us!
8738,"If not, I am warning you, get off my back!","if you don't, I'm warning you-- leave me alone!"
8739,They're too fat and they talk too much.,they are too tight and they speak too much.
8740,"Hey, don't you worry, Hank. We got your God damn flowers.","don't worry, Hank, your flowers came."
8741,"No, you, bearded buffoon.","no, you, bearded old man."
8742,"Her arm looped around his neck, pulling him down until he could feel her soft breasts pressing against the skin of his chest.",Anduine put her arms around her neck and drew him to one another when she could feel her breasts on her chest.
8743,What a joint.,what a dump.
8744,They'll skin you alive if you mess with them.,they'll skin your skin alive if they don't like something!
8745,One way to friggin' Mexico.,straight to Mexico.
8746,"Fuck, look at this, Trent!","look at that, Trent."
8747,I began to smile at the stupid simplicity of the request.,I laughed at this simple invitation.
8748,You can't be this stupid!,you can't be that bad.
8749,Look out! You're choking me!,you will strangle me!
8750,Give me your foot.,give me your leg.
8751,Saturday night's my bitch.,Saturday night belongs to me.
8752,They got no business out here. ...better off in their own schools than they are in the white schools.,it's not their thing.... better they're in their own schools than in white ones.
8753,"That is sick, man.",that's sick.
8754,"The largest units Thurston's sensors could see were battlecruisers, but the Allied force's acceleration was 458 g, which was stupid.","the biggest units that Thurston's sensors recorded were battlecruisers, but the acceleration of the allied forces was 458 g, which was silly of them."
8755,"What the fuck do you mean, what kind of stuff?","what the hell did you mean, what kind of things?"
8756,Shut up!,be quiet!
8757,Get out of here.,get the fuck out!
8758,"Right, right, so, maybe... the buyer offers to drive the victim to the hospital, kills him along this deserted stretch of road.","okay, well, maybe the buyer offered to take the victim to the hospital, and he killed him on this abandoned piece of road."
8759,"Just Seth's napkin confession... ...detailing all his lies and deceptions, including his pathetic stoner phase.","Seth's confession napkin with a detail of his lies and deceit, including that poor drug phase."
8760,"Julie, I... You gotta watch the fucking tape.","Julie, you have to look at the tapes."
8761,She's got to be as big as the man is.,a woman must be as big as a man.
8762,"You renounce to your legs, neglected your sex, Your head, your blood, Your organs, your bone.","to cast your feet, your gender... your head, your blood... your organs, your bones."
8763,Do not talk nonsense.,don't be silly.
8764,Pierre said it's a school of jerkoffs.,Pierre said it was a school of honours.
8765,Rosen said you wasn't tried to kill me or anything.,Rosen said to call me once you tried to kill me or something.
8766,"But it just goes to show you, if you leave your door unlocked, you shouldn't be surprised when somebody comes in and takes a shit in the middle of the floor.","but this is supposed to show you that if you leave the door open, you can't be surprised someone comes in and takes the stuff that doesn't belong to him."
8767,Just zap him and wait for back-up.,just stop him and wait for backup.
8768,I hate familiars.,I hate racketeering...
8769,How the heck did you get out of that bar? (sighs),how the hell did you get out of the bar?
8770,Target the area around the portal and open fire.,target the entire area around the gate and fire.
8771,"Shut up, Annette.","be quiet, Anette."
8772,"And you don't always know where you are, But if you're gonna bump her, You do it up here, okay,","and you don't always know where you are, but if you run into her, you're gonna have to hit her up here, okay, or... down here, around the leg,"
8773,"I'm sorry that you've been landed opposite such a total git, Smith.","I'm sorry to hear you brought it up here, Smith."
8774,That's who's gonna shoot him.,that's where he gets shot.
8775,Your lover will melt in your arms.,your mistress will melt in your arms.
8776,He prodded the purser in the chest with a finger that would have punched a hole through a weaker man.,"isn't it true, pennies? ""He said, with a thick finger to punch a hole in the weaker man, tapping the purse that hung on his neck."
8777,You fucked up?!,you mean you screwed up?
8778,"In the bucket, put it in",put her head in the bucket.
8779,"And here, your education, three, not four years, at Fairleigh Dickinson in Teaneck, also known as Fairly Ridiculous. Did I miss anything?","and your education - just three years on Fairleigh Dickinson in Teanecka, also known as ""total ridiculous."" Did I forget something?"
8780,What did that poor boy ever do to you?,what did the loser ever do to you?
8781,"Have you said to Benjamin, that you will kill him?",why did you tell Benjamin you killed him?
